symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle
24CS,"1,018,862.54","409,792.60","215,000.00","609,069.93","982,263.52","945,659.45","44,330.42","36,604.06","24,494.23",0.08,"-195,061.83","-7,469.19","364,337.09","161,806.07",6.57,5.12,11.09,2.49,3.73,0.67,7.22,2.46,1.16,46.24,1.37,18.5,19.73,5.49,66.47,3.86,94.6,-8.4
A5,"2,491,673.39","1,596,290.68","604,692.31","895,382.71","664,434.46","559,564.64","109,969.94","106,408.26","97,787.46",0.08,"-941,078.77",-9.92,"1,115,416.44","174,327.75",11.47,5.91,33.65,15.26,16.01,1.78,7.7,3.59,0.63,100.42,0.37,0.45,807.89,15.8,23.1,5.68,64.27,766.73
ABM,"1,276,244.68","702,685.51","200,000.00","591,341.46","2,715,690.80","2,648,817.29","90,465.13","66,842.71","35,886.38",0.11,"-104,256.72","-60,251.84","169,376.19","4,867.63",7.44,5.79,13.88,1.29,2.46,1.23,3.35,1.2,0.68,5.67,2.35,8.78,41.56,9.06,40.29,45.28,8.06,73.79
ACAP,"3,228,735.26","3,210,371.72","158,205.58","18,363.53","9,400.04","-1,195.28","515,345.94","492,048.70","-97,426.31",-0.31,"-44,542.63","202,169.87","-156,993.86",633.38,-146.93,14.51,"-50,829.20","-1,036.45","5,234.54",174.82,0.83,0.12,0,-,0,N/A,-,N/A,-,N/A,-,-
ADB,"1,626,388.23","982,657.01","362,999.96","643,731.22","2,166,512.61","2,155,787.02","60,896.32","7,701.11","-6,934.29",-0.01,"-116,346.48","-39,185.90","195,831.42","40,299.04",-1.04,0.5,9.31,-0.32,0.36,1.53,0.56,1.2,0.59,4.26,1.41,4.05,90.21,5.18,70.51,7.91,46.16,114.55
ADD,"606,121.87","73,566.10","80,000.00","528,938.19","334,084.89","280,977.40","57,176.38","53,813.66","45,716.14",0.29,"60,069.28","-137,578.98","-71,184.37","-148,694.07",8.48,8.57,27.9,13.47,16.11,0.14,235.47,7.09,6.99,40.69,0.53,N/A,-,3.45,105.91,3.42,106.78,-0.86
AF,"2,384,298.25","1,858,674.46","400,000.00","525,623.79","226,489.38","127,155.26","107,915.06","99,334.13","45,260.72",0.03,"-54,144.88","-1,036.56","24,344.69","-30,836.74",8.57,4.23,81.11,19.98,43.86,3.54,2.33,1.25,0.04,-,0.1,N/A,-,N/A,-,N/A,-,-
AIRA,"9,644,386.18","5,084,460.34","1,578,719.63","3,673,990.62","962,400.29","847,564.88","320,332.17","167,470.94","-14,793.81",-,"426,815.91","-38,849.45","-461,046.32","-73,079.86",-0.4,1.69,69.09,0.24,17.4,1.12,0.99,1.48,0.17,-,0.1,N/A,-,N/A,-,N/A,-,-
AKP,"727,530.88","124,203.72","202,000.00","603,327.16","384,193.29","354,038.97","72,699.29","39,512.47","29,286.21",0.07,"45,525.74","-118,468.68","-31,519.27","-104,462.21",4.9,5.44,21.78,7.62,10.28,0.21,8.44,4.71,3.09,2.77,0.53,N/A,-,3.85,94.93,5.55,65.82,29.1
ALL,"6,705,059.98","5,832,834.36","859,262.34","872,219.72","647,834.89","1,397,928.06","-957,240.78","-979,916.84","-1,494,794.31",-1.01,"-188,430.10","-24,995.06","192,761.66","-20,663.50",-103.79,-13.42,15.26,-230.74,-151.26,6.69,-2.29,0.84,0.03,3.12,0.09,0.14,"2,640.76",3.79,96.36,0.78,465.12,"2,272.00"
ALPHAX,"1,807,424.12","259,805.37","478,495.94","1,358,730.18","355,364.71","273,301.83","69,080.18","58,896.85","36,677.72",0.02,"-293,723.52","-6,638.35","575,877.48","275,515.61",3.89,4.29,53.01,10.4,16.57,0.17,20.98,8.85,2.32,11.31,0.26,0.44,822.48,708.86,0.51,2.29,159.22,663.78
AMA,"4,464,932.95","1,585,707.24","258,958.39","2,800,647.16","3,238,312.13","2,728,747.08","871,175.59","538,674.42","462,429.16",0.89,"812,932.00","-90,008.90","-427,609.05","295,314.05",17.94,12.55,21.89,14.38,16.63,0.55,11.02,1.05,0.92,0.9,0.75,29.89,12.21,13.6,26.83,15.51,23.53,15.51
AMARC,"699,346.26","151,451.18","210,000.00","547,895.08","264,260.58","240,144.11","57,620.51","24,116.47","14,516.00",0.04,"53,519.53","-201,588.98","192,376.62","44,307.18",3.82,4.2,39.91,5.49,9.13,0.28,3.91,4.38,1.35,0.75,0.46,16.06,22.73,5.6,65.17,5.98,61.08,26.81
APP,"772,437.72","426,737.78","140,000.00","345,926.23","888,337.94","829,514.91","84,174.86","58,823.03","46,473.74",0.17,"33,301.67","-172,606.07","-61,661.94","-200,966.33",13.21,7.82,40.55,5.23,6.62,1.23,87.85,1.81,0.81,7.95,1.18,9.3,39.23,9.35,39.05,4.22,86.57,-8.3
ARIN,"808,551.77","446,882.93","300,000.00","361,668.84","274,931.44","277,765.44","4,198.84","-2,834.00","-29,208.03",-0.05,"110,410.76",-387.5,"-108,906.02","1,117.24",-7.76,-0.32,16.77,-10.62,-1.03,1.24,-0.15,1.43,0.01,18.04,0.31,0.34,"1,088.47",73.74,4.95,3.2,113.99,979.43
ARIP,"269,338.01","43,831.23","116,500.00","225,506.78","226,544.96","212,206.13","22,752.50","14,338.83","12,103.13",0.03,"33,492.86","-32,873.13",-427.98,191.75,5.52,5.44,26.35,5.34,6.33,0.19,-19.79,5.23,3.03,4.87,0.86,"2,666.86",0.14,3.58,102.08,5.91,61.76,40.46
ARROW,"1,718,330.60","502,322.26","256,896.90","1,242,418.40","1,375,391.59","1,250,618.13","167,451.94","124,773.46","92,626.04",0.36,"61,611.34","-35,059.57","-17,692.95","8,858.81",7.39,7.53,17.2,6.73,9.07,0.41,13.36,2.7,0.98,2.71,0.83,1.61,226.02,4.03,90.66,11.55,31.62,285.06
ASN,"568,820.94","271,971.06","93,599.98","296,849.88","151,974.41","133,002.21","28,721.69","18,972.20","5,169.06",0.03,"-80,032.37","-9,720.02","-31,375.43","-121,127.82",1.72,3.25,32.42,3.4,12.48,0.92,1.54,4.57,2.1,6.92,0.26,N/A,-,2.06,177.18,N/A,-,177.18
ATP30,"1,180,676.69","673,841.54","170,577.51","506,835.15","632,454.04","578,314.31","145,519.39","54,139.73","29,174.92",0.04,"134,988.99","-8,905.48","-161,359.90","-35,276.39",5.81,4.74,17.38,4.61,8.56,1.33,3.06,0.49,0.42,0.63,0.55,356.14,1.02,7.81,46.72,11.51,31.71,16.04
AU,"1,250,886.78","323,807.97","81,562.36","926,793.64","954,473.49","799,450.82","308,373.82","155,022.66","118,478.23",0.15,"270,578.09","-186,142.61","-71,034.12","13,401.36",13.67,13.01,63.15,12.4,16.24,0.35,19.83,2.49,2.19,1.31,0.8,8.27,44.14,45.62,8,4.89,74.67,-22.52
AUCT,"1,806,484.29","1,252,402.90","137,500.00","554,081.40","953,186.56","611,753.11","474,496.77","341,433.45","251,248.55",0.46,"299,983.31","-48,148.98","-320,965.14","-69,130.81",45.96,18.8,50.16,26.36,35.82,2.26,13.93,1.66,1.65,0.87,0.52,N/A,-,8.66,42.17,1.43,254.48,-212.31
BBIK,"805,853.77","169,691.15","50,000.00","631,518.82","567,527.97","437,165.50","155,785.67","149,903.14","127,089.76",1.27,"48,646.40","161,339.43","-35,511.54","174,474.29",21.62,20.58,52.78,23.01,26.41,0.27,197.67,4.51,3.55,25.85,0.78,14.74,24.76,7.1,51.42,2.85,127.96,-51.77
BC,"3,864,057.29","3,399,689.95","569,123.18","746,257.99","258,485.21","402,690.62","179,207.64","112,984.78","-50,037.73",-0.09,"-64,664.15","745,279.91","-306,853.90","373,761.86",-7.02,2.87,61.05,-19.87,43.71,7.32,0.8,1.2,1.07,0.09,0.07,101.92,3.58,18.71,19.51,0.64,574.6,-551.51
BE8,"3,889,195.10","1,336,139.82","120,322.40","2,553,055.27","810,978.21","662,022.69","163,309.41","148,955.52","138,623.46",0.68,"36,933.60","-151,081.27","-64,377.29","-178,524.96",8.74,6.41,38.56,17.09,18.37,0.52,33.82,1.66,0.59,9.04,0.35,52.01,7.02,3.68,99.26,2.57,142.09,-35.81
BGT,"825,342.47","439,565.45","181,759.95","385,777.02","524,303.70","513,325.91","84,277.98","10,977.79","-11,573.13",-0.03,"96,718.74","-10,635.40","-89,399.97","-3,316.63",-2.96,1.19,57.37,-2.21,2.09,1.14,0.54,3.37,1.2,0.94,0.57,1.19,306.51,20.02,18.23,9.6,38.04,286.71
BIS,"1,085,140.00","316,591.00","157,000.00","760,997.00","2,219,680.00","2,137,647.00","97,751.00","82,033.00","55,915.00",0.2,"-32,740.00","-142,583.00","125,300.00","-50,023.00",10.89,8.19,14.44,2.69,3.7,0.41,13.09,2.79,1.79,17.98,2.21,7.43,49.14,5.46,66.87,6.47,56.4,59.62
BLESS,"2,149,104.82","992,942.43","400,000.00","1,156,162.39","662,913.79","609,145.90","57,458.36","53,767.89","42,395.75",0.06,"71,966.23","12,893.26","-95,691.96","-10,832.47",4.16,2.47,29.86,6.4,8.11,0.86,18.03,2.2,0.09,13.72,0.3,0.3,"1,202.07",76.53,4.77,3.79,96.29,"1,110.55"
BM,"1,424,880.63","556,926.33","259,229.38","867,604.48","1,305,219.94","1,223,201.34","125,520.49","71,723.40","55,054.81",0.12,"160,928.60","-122,812.56","-28,160.69","9,955.35",6.67,5.18,15.09,4.22,5.5,0.64,9.23,1.38,0.68,1.6,0.94,5.29,69.06,6.1,59.84,5.09,71.75,57.15
BOL,"1,208,167.06","326,238.88","82,050.55","881,928.18","699,168.38","381,137.17","344,583.53","315,871.09","270,693.41",0.33,"272,789.09","103,353.15","-230,243.46","145,898.78",33.01,28.03,67.05,38.72,45.18,0.37,184.55,2.46,1.69,13.22,0.62,N/A,-,6.26,58.28,1.42,256.44,-198.16
BROOK,"3,117,268.56","442,129.02","1,164,401.07","2,612,283.68","311,891.07","670,968.98","-476,966.35","-497,999.97","-521,286.14",-0.06,"36,284.26","9,058.63","-219,452.07","-174,109.17",-18,-14.19,55.88,-167.17,-159.67,0.17,-46.03,5.76,0.79,5.13,0.09,0.12,"3,100.28",0.75,485.76,154.09,2.37,"3,583.67"
BSM,"1,338,045.12","889,233.35","213,050.62","448,811.77","740,682.38","742,054.82","36,896.96",878.92,"-31,172.54",-0.02,"260,011.98","-17,618.05","-247,834.67","-5,440.74",-6.71,0.06,20.62,-4.21,0.12,1.98,0.03,1.22,0.16,2.78,0.51,0.97,374.78,9.87,36.98,4.39,83.14,328.63
BTW,"1,902,869.92","858,176.15","378,000.00","1,044,262.33","2,259,809.54","2,204,196.03","137,638.72","55,613.51","34,491.00",0.05,-70.97,"-20,774.47","66,648.40","45,802.97",3.37,3.13,6.96,1.53,2.46,0.82,3.26,1.58,0.54,3.83,1.27,9.29,39.28,8.18,44.64,9.78,37.33,46.59
CAZ,"2,091,359.75","1,270,040.88","146,999.88","810,258.20","3,137,811.22","2,867,273.77","345,683.59","270,537.45","201,379.53",0.68,"239,614.90","-48,291.25","-337,363.03","-146,039.39",27.5,13.31,11.65,6.53,8.62,1.55,18.04,1.03,0.47,5.73,1.54,63.1,5.78,8.08,45.2,7.41,49.23,1.76
CEYE,"635,468.59","115,044.22","135,000.00","520,424.38","365,709.70","297,822.22","84,379.72","67,887.48","52,021.57",0.21,"89,326.79","-196,129.19","130,442.23","23,639.83",12.55,12.69,30.07,14.22,18.56,0.22,22.62,5.07,4.99,1.31,0.68,488.25,0.75,3.38,108.08,8.55,42.71,66.12
CHEWA,"6,312,415.76","4,321,549.25","1,275,027.88","1,990,866.50","2,148,122.39","1,913,032.07","246,874.31","233,527.32","115,426.20",0.09,"349,915.72","-51,499.31","-705,271.05","-406,854.64",5.93,3.57,29.53,5.37,10.87,2.17,2.76,1.89,0.05,77.3,0.33,0.27,"1,353.44",48.59,7.51,4.08,89.44,"1,271.51"
CHIC,"1,703,415.96","869,493.35","680,000.00","833,922.61","770,495.07","716,236.29","151,271.42","54,258.79","16,581.75",0.01,"116,698.07","-38,171.23","-25,957.52","52,569.32",2.31,3.07,49.06,2.15,7.04,1.04,1.64,1.2,0.85,0.59,0.44,3.35,108.82,5.41,67.41,2.34,156.3,19.93
CHO,"3,052,252.00","2,182,391.00","671,153.00","869,860.00","527,533.00","953,887.00","-368,689.00","-434,166.00","-642,775.00",-0.28,"181,690.00","-224,511.00","47,240.00","4,419.00",-73.42,-13.84,-52.09,-121.85,-82.3,2.51,-1.97,0.64,0.13,0.72,0.17,1.05,347.13,2.53,144.28,2.21,164.89,326.52
CHOW,"4,702,974.16","2,766,896.27","800,000.00","1,694,296.19","2,753,972.18","1,478,569.79","1,479,377.33","1,336,037.44","1,020,854.76",1.28,"-431,593.59","1,878,899.26","-1,426,221.35","21,084.32",84.69,18.3,12.7,42.33,48.51,1.43,13.08,0.94,0.17,1.35,0.38,12.13,30.09,3.29,111.03,4,91.27,49.86
CIG,"778,526.45","667,701.21","432,394.34","112,319.41","1,033,144.73","1,113,660.49","-32,617.28","-80,956.65","-122,535.42",-0.14,"-45,979.90","-5,648.18","76,021.15","24,393.07",-70.59,-9.86,13.76,-12.06,-7.84,6.02,-2.32,0.63,0.38,3.25,1.26,6.9,52.88,5.44,67.14,3.64,100.18,19.84
CMO,"1,216,792.11","694,607.63","280,962.73","504,560.72","1,194,951.03","1,198,870.29","53,267.38","-3,919.26","-31,392.73",-0.12,"-67,851.23","-4,882.96","102,864.15","30,129.97",-7.1,-0.35,18.32,-2.23,-0.33,1.33,-0.19,0.87,0.52,1.91,1.07,24.19,15.09,6.32,57.71,6.19,58.93,13.86
COLOR,"1,414,473.17","583,086.78","588,964.62","830,703.87","1,256,220.35","1,183,996.46","146,038.99","72,223.88","59,525.93",0.1,"132,984.92","-123,887.19","1,314.09","10,411.82",7.3,5.17,19,4.7,5.75,0.7,8.75,1.29,0.56,1.68,0.9,3.05,119.48,4.92,74.19,5.23,69.8,123.87
COMAN,"390,143.39","43,772.56","67,000.00","340,844.25","86,704.75","90,203.83","-1,535.79","-26,108.54","-46,276.21",-0.35,"4,908.57","-177,590.58","-17,713.85","-190,395.86",-12.54,-5.94,13.47,-48.66,-30.11,0.13,-422.33,5.92,5.56,1.88,0.2,7.45,48.96,7.21,50.65,1.8,202.61,-103
CPANEL,"686,715.56","232,815.77","159,994.57","453,899.79","433,977.91","341,373.23","126,516.38","92,604.68","67,938.60",0.42,"150,698.87","-116,546.26","-52,188.17","-18,035.56",16.13,14.3,39,15.65,21.34,0.51,12.26,1.18,0.99,0.99,0.67,11.46,31.86,10.64,34.31,7.31,49.9,16.27
CPR,"708,979.98","77,576.63","199,000.00","625,651.16","448,061.16","387,492.09","88,067.16","64,250.67","52,108.86",0.26,"59,087.74","-12,442.58","-22,274.60","24,370.56",8.55,9.2,19.24,11.66,14.34,0.12,335.5,8.16,6.08,3.95,0.64,3.44,106,5.78,63.17,9.6,38.01,131.16
CRD,"1,188,008.54","831,970.11","250,000.00","342,360.56","1,254,857.36","1,253,124.56","47,716.78","2,103.61","-15,349.79",-0.03,"-6,015.74","-6,119.14","-2,471.80","-14,606.68",-4.4,0.19,3.79,-1.13,0.17,2.34,0.12,0.99,0.65,3.89,1.12,43.2,8.45,3.24,112.65,5.21,70.02,51.08
D,"1,132,486.63","595,230.19","150,968.92","537,247.77","829,339.39","745,470.64","121,107.31","83,868.76","57,500.30",0.19,"103,593.48","-12,890.23","-69,547.81","21,155.44",11.63,7.49,32.75,6.93,10.11,1.11,5.5,1.5,0.79,1.31,0.74,3.59,101.65,6.84,53.4,5.58,65.41,89.63
DHOUSE,"737,652.33","311,380.13","420,000.00","426,272.20","33,320.35","45,488.22","-9,640.56","-12,167.87","-23,812.71",-0.03,"-4,756.04","-26,642.61","12,480.01","-18,918.65",-5.43,-1.65,31.65,-71.47,-36.52,0.73,-1.47,0.95,0.11,0.39,0.05,0.16,"2,306.21",N/A,-,8.84,41.27,"2,264.94"
DIMET,"525,072.02","79,006.28","1,219,061.78","446,065.74","212,420.55","328,570.81","-133,987.26","-139,053.52","-141,961.69",-0.06,"-124,445.77","-129,553.95","93,546.07","-160,453.66",-39.13,-30.28,28.51,-66.83,-65.46,0.18,-47.96,1.97,1.55,2.34,0.46,4.01,90.95,2.35,155.34,2.63,138.68,107.61
DITTO,"1,658,311.45","390,395.96","264,027.97","1,267,913.53","1,239,900.65","947,406.10","344,993.11","296,005.82","234,748.31",0.47,"357,829.94","-425,858.11","-101,605.85","-169,634.02",20.41,19.73,33.25,18.93,23.87,0.31,115.21,3.95,2.8,6.03,0.83,18.91,19.3,5.1,71.52,5.97,61.12,29.71
DOD,"1,290,917.60","397,285.84","205,000.25","887,152.23","548,440.16","965,570.87","-352,628.60","-417,130.71","-398,334.04",-0.97,"-130,707.79","-62,119.37","61,419.04","-131,408.12",-36.75,-28.59,26.16,-73.87,-76.06,0.44,-58.79,0.65,0.29,0.57,0.38,3.75,97.31,2.72,134.21,3.44,106.2,125.32
DPAINT,"1,085,846.23","432,020.31","230,000.00","655,288.25","909,235.42","832,410.29","93,579.38","76,825.13","55,612.94",0.24,"-89,281.71","-25,308.39","-37,237.96","-151,828.05",8.86,7.4,38.43,6.03,8.45,0.66,20.16,1.86,1.43,4.33,0.88,5.2,70.19,2.47,148.02,1.88,194.31,23.9
DV8,"517,785.77","74,000.12","1,430,416.19","427,816.85","262,297.41","275,695.61","2,266.24","-10,916.41","-14,315.14",-0.01,"4,030.27","52,584.61","-2,306.71","54,308.16",-3.29,-2.07,17.13,-5.1,-4.16,0.17,-10,6.02,4.67,13.07,0.5,23.78,15.35,2.34,156.21,5.44,67.11,104.46
ECF,"3,988,103.05","2,621,488.82","239,871.90","1,343,504.87","1,463,397.64","1,294,009.71","244,779.05","196,779.59","37,458.93",0.04,"77,731.94","-150,851.92","65,020.76","-8,099.22",2.83,5.08,24.21,2.54,13.45,1.92,1.24,1.14,0.33,2.18,0.38,0.83,439.8,2.66,137.41,5.8,62.97,514.23
EFORL,"1,544,110.00","1,037,695.00","2,998,399.00","506,415.00","1,510,552.00","1,425,320.00","131,938.00","85,232.00","53,037.00",0.01,"223,603.00","-58,681.00","-155,007.00","9,915.00",11.8,5.29,33.22,3.51,5.64,2.05,2.89,1.51,0.7,4.32,0.94,1.99,183.38,3.81,95.73,3.28,111.25,167.86
ETE,"2,138,417.40","1,231,508.90","280,000.00","904,998.17","1,261,307.45","1,214,087.93","97,585.07","46,810.07","23,350.74",0.04,"-34,952.46","-113,955.29","143,314.74","-5,593.01",2.61,2.34,12.44,1.88,3.71,1.36,1.8,1.03,0.43,1.17,0.63,12.61,28.94,4.77,76.57,5.93,61.56,43.94
FLOYD,"543,187.70","103,483.97","180,000.00","439,703.72","312,952.67","275,210.27","37,434.87","29,922.31","24,075.78",0.07,"69,115.88","-2,418.56",-69.1,"66,628.22",5.65,5.76,29.24,7.69,9.56,0.24,N/A,3.96,3.71,2.08,0.6,18.06,20.21,2.38,153.16,3.38,107.99,65.38
FPI,"3,719,200.00","1,600,236.00","378,257.00","2,118,964.00","2,680,336.00","2,100,069.00","731,161.00","531,402.00","408,562.00",0.27,"298,980.00","-129,265.00","99,274.00","268,989.00",20.8,15.51,29.19,15.24,19.83,0.76,28.28,1.63,1.14,2.23,0.78,3.17,115.15,2.27,161.14,5.06,72.12,204.17
FSMART,"2,834,783.12","1,706,834.31","390,000.00","1,127,881.25","2,473,725.10","2,130,534.41","867,686.48","387,392.80","301,885.41",0.4,"601,247.20","-346,546.61","-323,015.38","-68,314.79",26.77,13.42,17,12.2,15.66,1.51,23.42,0.84,0.19,2.21,0.86,46.71,7.81,N/A,-,3.11,117.41,-109.6
FVC,"1,139,700.53","428,663.21","282,571.48","495,566.74","776,092.75","716,507.93","95,276.03","59,584.82","32,945.93",0.06,"54,381.97","-94,611.74","236,743.61","196,513.83",8.02,6.01,25.8,5.04,7.68,0.6,6.71,2.28,1.71,2.57,0.78,3.73,97.87,3.08,118.51,3.37,108.28,108.1
GCAP,"1,396,202.19","979,697.71","186,703.66","416,504.48","213,675.38","246,439.29","-22,514.91","-32,763.91","-100,636.39",-0.3,"323,398.94",-437.24,"-309,015.11","13,946.58",-23,-2.01,58.2,-47.1,-15.33,2.35,-0.38,0.75,0.09,-,0.13,N/A,-,N/A,-,N/A,-,-
GLORY,"355,584.04","35,355.86","135,000.00","320,228.18","138,120.36","98,591.31","57,834.17","36,532.62","28,963.49",0.11,"46,389.69","2,103.83","-5,399.81","43,093.71",9.39,10.88,51.71,20.97,26.45,0.11,N/A,6.19,3.8,3.02,0.41,106.26,3.44,9.06,40.29,3.04,120.24,-76.52
GSC,"296,952.87","47,539.61","125,000.00","225,832.31","119,565.21","101,933.56","30,557.89","23,429.32","15,488.95",0.06,"20,260.20","6,052.31","-3,240.90","23,071.62",7.11,8.75,43.15,17.36,19.6,0.19,16.78,9.18,8.04,4.41,0.45,690.7,0.53,13,28.08,6.19,58.92,-30.31
GTB,"1,002,882.63","302,190.23","240,000.00","700,691.41","1,119,548.70","1,063,687.32","88,178.95","56,667.92","44,483.34",0.05,"55,749.89","-8,257.83","-7,932.37","39,559.69",6.59,5.61,18.45,3.97,5.06,0.43,21.71,2.9,1.51,4.12,1.11,7.06,51.66,6.33,57.63,5.45,66.98,42.31
GTV,"5,543,053.58","1,419,995.45","6,565,391.68","3,893,842.63","371,526.31","536,339.21","1,666.66","-140,201.85","-211,712.13",-0.02,"28,304.51","-1,101,490.18","1,111,363.46","38,177.79",-6.12,-2.73,47.67,-54.76,-37.74,0.34,-1.95,2.17,1.23,0.25,0.07,0.33,"1,106.92",3.26,112.03,3.15,115.96,"1,103.00"
